id,CountyName,StateName,geocentroid,popcentroid,difference,area,population,WeightedDifference
26153,Schoolcraft,Michigan,"46.19465602,-86.20142356","46.004789,-86.227647",21201.5,3033.8,8485,384.9
55075,Marinette,Wisconsin,"45.38306091,-88.03159038","45.221014,-87.846106",23151.3,3624.29,41749,384.6
30081,Ravalli,Montana,"46.08173832,-114.118971","46.352649,-114.117267",30113.5,6192.2,40212,382.7
40009,Beckham,Oklahoma,"35.26862524,-99.6812815","35.361391,-99.512486",18480.8,2335.66,22119,382.4
08035,Douglas,Colorado,"39.3291166,-104.9268953","39.48527,-104.879712",17806.6,2176.23,285465,381.7
08045,Garfield,Colorado,"39.59902879,-107.9086026","39.507561,-107.539356",33321.1,7634.15,56389,381.4
16043,Fremont,Idaho,"44.23247853,-111.4810831","44.014844,-111.615464",26466.5,4826.51,13242,381
42041,Cumberland,Pennsylvania,"40.16549324,-77.25956971","40.204609,-77.099379",14317,1412.73,235406,380.9
20161,Riley,Kansas,"39.29926093,-96.7360679","39.189473,-96.633015",15090,1579.3,71115,379.7
31141,Platte,Nebraska,"41.57078933,-97.52048878","41.469013,-97.387409",15848.2,1745.8,32237,379.3
48071,Chambers,Texas,"29.73769922,-94.60584198","29.801262,-94.741728",14911,1546.58,35096,379.2
55101,Racine,Wisconsin,"42.74719023,-88.06092989","42.734943,-87.926109",11123,861.17,195408,379
48281,Lampasas,Texas,"31.19529797,-98.24163722","31.09588,-98.116277",16260.4,1846.25,19677,378.4
48117,Deaf Smith,Texas,"34.96522008,-102.6053582","34.835104,-102.402042",23530.6,3876.87,19372,377.9
72153,Yauco,Puerto Rico,"18.08973853,-66.85880576","18.044387,-66.859074",5019.6,176.62,42043,377.7
13177,Lee,Georgia,"31.78153727,-84.14463911","31.681194,-84.173396",11455.2,921.48,28298,377.4
35033,Mora,New Mexico,"36.01029718,-104.9455137","35.99928,-105.241049",26673,5001.98,4881,377.1
20129,Morton,Kansas,"37.19141271,-101.7992482","37.047093,-101.838333",16388.9,1889.99,3233,377
06073,San Diego,California,"33.03331778,-116.7324825","32.88326,-117.112994",39276.7,10895.12,3095313,376.3
46103,Pennington,South Dakota,"44.00296633,-102.8250829","44.064633,-103.213752",31900.5,7191.24,100948,376.2
